nn4sys,onnx/test_nano.onnx,vnnlib/test_nano.vnnlib,0,unsat,0
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_9820_128_dual.vnnlib,0,unsat,144.55,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_10450_128_dual.vnnlib,0,unsat,156.42,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_128d_dual.onnx,vnnlib/cardinality_1_11080_128_dual.vnnlib,0,unsat,178.12,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_2048d.onnx,vnnlib/cardinality_0_1_2048.vnnlib,0,unsat,12.54,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_2048d.onnx,vnnlib/cardinality_0_500_2048.vnnlib,0,timeout,18
nn4sys,onnx/mscn_2048d.onnx,vnnlib/cardinality_0_750_2048.vnnlib,0,timeout,40
nn4sys,onnx/mscn_2048d.onnx,vnnlib/cardinality_0_1000_2048.vnnlib,0,timeout,40
nn4sys,onnx/mscn_2048d.onnx,vnnlib/cardinality_0_2120_2048.vnnlib,0,timeout,65
nn4sys,onnx/mscn_2048d.onnx,vnnlib/cardinality_0_2680_2048.vnnlib,0,timeout,85
nn4sys,onnx/mscn_2048d.onnx,vnnlib/cardinality_0_3240_2048.vnnlib,0,timeout,105
nn4sys,onnx/mscn_2048d.onnx,vnnlib/cardinality_0_3800_2048.vnnlib,0,timeout,105
nn4sys,onnx/mscn_2048d.onnx,vnnlib/cardinality_0_4360_2048.vnnlib,0,timeout,111
nn4sys,onnx/mscn_2048d.onnx,vnnlib/cardinality_0_4920_2048.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d.onnx,vnnlib/cardinality_0_5480_2048.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_1_2048_dual.vnnlib,0,timeout,23.14,l1audit-20260804-d1282d23
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_240_2048_dual.vnnlib,0,timeout,103
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_360_2048_dual.vnnlib,0,timeout,106
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_480_2048_dual.vnnlib,0,timeout,108
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_600_2048_dual.vnnlib,0,timeout,108
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_720_2048_dual.vnnlib,0,timeout,108
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_840_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_960_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_2260_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_2890_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_3520_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_4150_2048_dual.vnnlib,0,timeout,112
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_4780_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_5410_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_6040_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_6670_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_7300_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_7930_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_8560_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_9190_2048_dual.vnnlib,0,timeout,111
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_9820_2048_dual.vnnlib,0,timeout,110
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_10450_2048_dual.vnnlib,0,timeout,111
nn4sys,onnx/mscn_2048d_dual.onnx,vnnlib/cardinality_1_11080_2048_dual.vnnlib,0,timeout,110
