cat,onnx,vnnlib,prepared,verdict,secs
relusplitter,onnx/mnist_fc_vnncomp2022_mnist-net_256x6.onnx,vnnlib/mnist_fc_vnncomp2022_prop_7_0.03.vnnlib,0,timeout,35
relusplitter,onnx/mnist_fc_vnncomp2022_mnist-net_256x6.onnx,vnnlib/mnist_fc_vnncomp2022_prop_8_0.05.vnnlib,0,timeout,35
relusplitter,onnx/mnist_fc_vnncomp2022_mnist-net_256x6_RSPLITTER_mnist_fc_vnncomp2022_prop_14_0.03.onnx,vnnlib/mnist_fc_vnncomp2022_prop_14_0.03.vnnlib,0,timeout,95
relusplitter,onnx/mnist_fc_vnncomp2022_mnist-net_256x6_RSPLITTER_mnist_fc_vnncomp2022_prop_7_0.03.onnx,vnnlib/mnist_fc_vnncomp2022_prop_7_0.03.vnnlib,0,timeout,95
relusplitter,onnx/mnist_fc_vnncomp2022_mnist-net_256x6.onnx,vnnlib/mnist_fc_vnncomp2022_prop_4_0.03.vnnlib,0,timeout,35
relusplitter,onnx/mnist_fc_vnncomp2022_mnist-net_256x6.onnx,vnnlib/mnist_fc_vnncomp2022_prop_6_0.05.vnnlib,0,timeout,35
relusplitter,onnx/mnist_fc_vnncomp2022_mnist-net_256x6_RSPLITTER_mnist_fc_vnncomp2022_prop_8_0.05.onnx,vnnlib/mnist_fc_vnncomp2022_prop_8_0.05.vnnlib,0,timeout,95
relusplitter,onnx/mnist_fc_vnncomp2022_mnist-net_256x6.onnx,vnnlib/mnist_fc_vnncomp2022_prop_9_0.05.vnnlib,0,timeout,35
relusplitter,onnx/mnist_fc_vnncomp2022_mnist-net_256x6_RSPLITTER_mnist_fc_vnncomp2022_prop_4_0.03.onnx,vnnlib/mnist_fc_vnncomp2022_prop_4_0.03.vnnlib,0,timeout,95
relusplitter,onnx/mnist_fc_vnncomp2022_mnist-net_256x6.onnx,vnnlib/mnist_fc_vnncomp2022_prop_13_0.03.vnnlib,0,timeout,35
relusplitter,onnx/mnist_fc_vnncomp2022_mnist-net_256x6_RSPLITTER_mnist_fc_vnncomp2022_prop_6_0.05.onnx,vnnlib/mnist_fc_vnncomp2022_prop_6_0.05.vnnlib,0,timeout,95
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_0.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_0.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_0_RSPLITTER_cifar_biasfield_vnncomp2022_prop_0.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_0.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_1.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_1.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_1_RSPLITTER_cifar_biasfield_vnncomp2022_prop_1.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_1.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_11_RSPLITTER_cifar_biasfield_vnncomp2022_prop_11.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_11.vnnlib,0,sat,0
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_11.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_11.vnnlib,0,sat,0
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_12.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_12.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_14.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_14.vnnlib,0,timeout,61
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_15.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_15.vnnlib,0,timeout,62
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_14_RSPLITTER_cifar_biasfield_vnncomp2022_prop_14.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_14.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_15_RSPLITTER_cifar_biasfield_vnncomp2022_prop_15.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_15.vnnlib,0,unknown,175
relusplitter,onnx/cifar_biasfield_vnncomp2022_cifar_bias_field_12_RSPLITTER_cifar_biasfield_vnncomp2022_prop_12.onnx,vnnlib/cifar_biasfield_vnncomp2022_prop_12.vnnlib,0,unknown,175
